"X_id","ageEnd","ageStart","gender","population","regionId","raab_id","age.groups.tens"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::female-50-54",54,50,"female",51174,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","50-59"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::male-50-54",54,50,"male",40993,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","50-59"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::female-55-59",59,55,"female",31542,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","50-59"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::male-55-59",59,55,"male",39333,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","50-59"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::female-60-64",64,60,"female",24264,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","60-69"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::male-60-64",64,60,"male",22916,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","60-69"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::female-65-69",69,65,"female",14492,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","60-69"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::male-65-69",69,65,"male",17633,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","60-69"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::female-70-74",74,70,"female",11928,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","70-79"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::male-70-74",74,70,"male",13856,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","70-79"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::female-75-79",79,75,"female",6143,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","70-79"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::male-75-79",79,75,"male",6963,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","70-79"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::female-80-undefined",NA,80,"female",6384,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","80+"
"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c::male-80-undefined",NA,80,"male",8746,"6dc67dae-48fd-4b79-9ca4-f0f2a0fb0d0c","2022_Ethiopia_Amhara_West-Gojam","80+"
