"raab_id","id","ageEnd","ageStart","gender","population"
"8320455b-39d5-441f-9806-ed1403867f7e","80ff1723-b897-4c09-887e-1b68c01ab993",54,50,"female",10882
"8320455b-39d5-441f-9806-ed1403867f7e","2310a1ce-c3e5-4807-811d-0e3a2338080c",54,50,"male",9834
"8320455b-39d5-441f-9806-ed1403867f7e","dd0dac88-0080-4e18-b683-65c1ee6b8c0e",59,55,"female",11784
"8320455b-39d5-441f-9806-ed1403867f7e","cf74140a-b1ae-475c-b3a3-528fb96d995c",59,55,"male",7918
"8320455b-39d5-441f-9806-ed1403867f7e","950b2204-7839-4628-8529-27410e618344",64,60,"female",10524
"8320455b-39d5-441f-9806-ed1403867f7e","afca81a0-f61f-4289-adcc-84d642611b58",64,60,"male",6117
"8320455b-39d5-441f-9806-ed1403867f7e","eb294869-d51a-4fd6-a10f-70822e97764e",69,65,"female",9044
"8320455b-39d5-441f-9806-ed1403867f7e","a7bfecfc-cbd2-48b1-b46c-42db62a40eb4",69,65,"male",5339
"8320455b-39d5-441f-9806-ed1403867f7e","f591bc34-012c-4215-a6cd-0128b8586f4d",74,70,"female",6790
"8320455b-39d5-441f-9806-ed1403867f7e","c41c4cbf-562c-4c99-b790-39c212ba24df",74,70,"male",4219
"8320455b-39d5-441f-9806-ed1403867f7e","3261cafd-0f21-41af-b8ff-5b9b359879dc",79,75,"female",5607
"8320455b-39d5-441f-9806-ed1403867f7e","27b40b45-f500-4fef-b629-fbc59ea60bfa",79,75,"male",3408
"8320455b-39d5-441f-9806-ed1403867f7e","b8a451f1-699e-476d-b5f6-534fd4c5c0a0",NA,80,"female",9114
"8320455b-39d5-441f-9806-ed1403867f7e","58d88255-2bca-4e0c-a257-5b51f41dea8b",NA,80,"male",4978
