"raab_id","id","ageEnd","ageStart","gender","population"
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","91d51d4a-89ee-4049-b3e5-a9603488a6f2",54,50,"female",4209
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","d5e4a050-c396-43f1-8181-fa988b2e9b5d",54,50,"male",5578
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","a206b311-15e2-4472-be2c-5f9b41ccad65",59,55,"female",3252
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","2915f247-2ade-4599-baec-68bf2effbf3d",59,55,"male",4311
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","85a796aa-8ac5-4b59-a079-118de6a73b62",64,60,"female",2692
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","8b6c2af6-6a7f-4526-86ff-4f77a90d18d0",64,60,"male",3568
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","8d4d84f2-08bb-4f67-970f-374cfcb404b8",69,65,"female",1871
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","543ed721-e8c1-43d5-9649-4df53a84b5ff",69,65,"male",2479
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","ca249bfe-757e-4387-a8fe-6aa24a71d50c",74,70,"female",1177
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","581a0a2d-fb8d-41d6-976f-deaadea1afc6",74,70,"male",1559
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","f8213800-f019-49bb-a5ca-775298d019eb",79,75,"female",600
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","136210af-b484-41c0-944e-3e142f8d080e",79,75,"male",795
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","4ea6f05a-8daf-4e3a-a7fe-880f107dd7a5",NA,80,"female",718
"15e50c7a-d2b4-426a-8a3a-f4234e88e8c8","09983cb8-5dfe-4eae-9252-ab92c6acf86a",NA,80,"male",950
