"principal.cause","blind.n","blind.pct","severe.vi.n","severe.vi.pct","moderate.vi.n","moderate.vi.pct","mild.vi.n","mild.vi.pct"
"1. Uncorrected refractive error",0,"  0.0",0,"  0.0",15,"  5.0",515," 80.3"
"2. Uncorrected aphakia",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"3. Untreated cataract",34," 65.4",39," 84.8",245," 81.4",87," 13.6"
"4. Cataract surgical complications",4,"  7.7",3,"  6.5",33," 11.0",22,"  3.4"
"5. Trachomatous corneal opacity",0,"  0.0",0,"  0.0",0,"  0.0",1,"  0.2"
"6. Other corneal opacity",10," 19.2",2,"  4.3",2,"  0.7",1,"  0.2"
"7. Phthisis",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"8. Onchocerciasis",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"9. Glaucoma",0,"  0.0",1,"  2.2",1,"  0.3",5,"  0.8"
"10. Diabetic retinopathy",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"11. Age-related macular degeneration",2,"  3.8",0,"  0.0",2,"  0.7",4,"  0.6"
"12. Other posterior segment disease",2,"  3.8",1,"  2.2",3,"  1.0",6,"  0.9"
"13. Myopic degeneration",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"14. Other globe or CNS abnomalities",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"Total",52,"100.0",46,"100.0",301,"100.0",641,"100.0"
