"principal.cause","blind.n","blind.pct","severe.vi.n","severe.vi.pct","moderate.vi.n","moderate.vi.pct","mild.vi.n","mild.vi.pct"
"1. Uncorrected refractive error",0,"  0.0",0,"  0.0",5,"  3.7",59," 22.2"
"2. Uncorrected aphakia",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"3. Untreated cataract",53," 43.4",34," 60.7",78," 57.8",124," 46.6"
"4. Cataract surgical complications",5,"  4.1",4,"  7.1",5,"  3.7",5,"  1.9"
"5. Trachomatous corneal opacity",14," 11.5",4,"  7.1",14," 10.4",26,"  9.8"
"6. Other corneal opacity",7,"  5.7",2,"  3.6",0,"  0.0",8,"  3.0"
"7. Phthisis",3,"  2.5",0,"  0.0",0,"  0.0",0,"  0.0"
"8. Onchocerciasis",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"9. Glaucoma",18," 14.8",2,"  3.6",8,"  5.9",9,"  3.4"
"10. Diabetic retinopathy",0,"  0.0",0,"  0.0",1,"  0.7",0,"  0.0"
"11. Age-related macular degeneration",17," 13.9",4,"  7.1",8,"  5.9",14,"  5.3"
"12. Other posterior segment disease",4,"  3.3",5,"  8.9",11,"  8.1",13,"  4.9"
"13. Other globe or CNS abnomalities",1,"  0.8",1,"  1.8",5,"  3.7",8,"  3.0"
"Total",122,"100.0",56,"100.0",135,"100.0",266,"100.0"
