"principal.cause","blind.n","blind.pct","severe.vi.n","severe.vi.pct","moderate.vi.n","moderate.vi.pct","mild.vi.n","mild.vi.pct"
"1. Refractive error",3,"  2.0",12," 21.1",67," 23.9",206," 63.4"
"2. Aphakia",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"3. Cataract",94," 63.5",34," 59.6",176," 62.9",77," 23.7"
"4. Cataract surgical complications",1,"  0.7",4,"  7.0",8,"  2.9",6,"  1.8"
"5. Trachomatous corneal opacity",4,"  2.7",0,"  0.0",0,"  0.0",0,"  0.0"
"6. Other corneal opacity",9,"  6.1",1,"  1.8",6,"  2.1",3,"  0.9"
"7. Pterygium",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"8. Phthisis",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"9. Onchocerciasis",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"10. Glaucoma",34," 23.0",4,"  7.0",10,"  3.6",19,"  5.8"
"11. Diabetic retinopathy",1,"  0.7",1,"  1.8",0,"  0.0",0,"  0.0"
"12. Age-related macular degeneration",1,"  0.7",0,"  0.0",0,"  0.0",1,"  0.3"
"13. Other posterior segment disease",1,"  0.7",0,"  0.0",11,"  3.9",11,"  3.4"
"14. Myopic degeneration",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"15. Other globe or CNS abnomalities",0,"  0.0",1,"  1.8",2,"  0.7",2,"  0.6"
"Total",148,"100.0",57,"100.0",280,"100.0",325,"100.0"
