"raab_id","id","ageEnd","ageStart","gender","population"
"b871319b-08ee-4508-bd41-413733c51075","676e911a-082e-4995-8a82-bffd09a097fb",54,50,"female",90523
"b871319b-08ee-4508-bd41-413733c51075","8cf31973-3c0e-4217-8fdc-f9cf482cf252",54,50,"male",86313
"b871319b-08ee-4508-bd41-413733c51075","477693dd-d261-4730-9a3a-13f047c54f85",59,55,"female",71577
"b871319b-08ee-4508-bd41-413733c51075","906e079f-2e60-4c89-8852-71bd1e68e68d",59,55,"male",69471
"b871319b-08ee-4508-bd41-413733c51075","aa980173-8315-4ea4-a247-204d58e7358d",64,60,"female",54735
"b871319b-08ee-4508-bd41-413733c51075","68227b47-92f3-4d5a-92c2-f44a85b010d0",64,60,"male",52630
"b871319b-08ee-4508-bd41-413733c51075","8f24bffa-044a-4bc7-a523-2e9521e5990d",69,65,"female",46314
"b871319b-08ee-4508-bd41-413733c51075","330b9a23-c24a-4666-8e5e-f63e25eb2c0b",69,65,"male",39999
"b871319b-08ee-4508-bd41-413733c51075","3e95e807-2ebd-413d-81de-295d94b4c86b",74,70,"female",37893
"b871319b-08ee-4508-bd41-413733c51075","9eeef025-8d7e-4374-8cab-2627522a9509",74,70,"male",31578
"b871319b-08ee-4508-bd41-413733c51075","c6c69438-4f05-4dcd-a723-0d8df598549b",79,75,"female",23157
"b871319b-08ee-4508-bd41-413733c51075","83023e00-5494-457c-b9f2-d1c0a0639c0d",79,75,"male",21052
"b871319b-08ee-4508-bd41-413733c51075","edb845a1-395f-40b2-be61-e0ac1f90eece",NA,80,"female",18947
"b871319b-08ee-4508-bd41-413733c51075","d9a24e90-526d-4b67-9ccd-267db2bf6be7",NA,80,"male",16842
