"principal.cause","female.n","female.pct","male.n","male.pct","total.n","total.pct"
"1. Uncorrected refractive error",0,0,0,0,0,0
"2. Uncorrected aphakia",1,2.3,0,0,1,1.5
"3. Untreated cataract",31,72.1,21,84,52,76.5
"4. Cataract surgical complications",1,2.3,0,0,1,1.5
"5. Trachomatous corneal opacity",0,0,0,0,0,0
"6. Other corneal opacity",6,14,2,8,8,11.8
"7. Phthisis",0,0,1,4,1,1.5
"8. Onchocerciasis",0,0,0,0,0,0
"9. Glaucoma",1,2.3,0,0,1,1.5
"10. Diabetic retinopathy",0,0,0,0,0,0
"11. Age-related macular degeneration",0,0,0,0,0,0
"12. Other posterior segment disease",3,7,0,0,3,4.4
"13. Myopic degeneration",0,0,0,0,0,0
"14. Other globe or CNS abnomalities",0,0,1,4,1,1.5
"Total",43,100,25,100,68,100
