"principal.cause","blind.n","blind.pct","severe.vi.n","severe.vi.pct","moderate.vi.n","moderate.vi.pct","mild.vi.n","mild.vi.pct"
"1. Uncorrected refractive error",0,"  0.0",6,"  4.7",214," 35.0",270," 79.2"
"2. Uncorrected aphakia",1,"  1.5",1,"  0.8",1,"  0.2",0,"  0.0"
"3. Untreated cataract",52," 76.5",107," 84.3",335," 54.7",59," 17.3"
"4. Cataract surgical complications",1,"  1.5",4,"  3.1",25,"  4.1",8,"  2.3"
"5. Trachomatous corneal opacity",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"6. Other corneal opacity",8," 11.8",4,"  3.1",4,"  0.7",0,"  0.0"
"7. Phthisis",1,"  1.5",0,"  0.0",0,"  0.0",0,"  0.0"
"8. Onchocerciasis",0,"  0.0",0,"  0.0",0,"  0.0",0,"  0.0"
"9. Glaucoma",1,"  1.5",1,"  0.8",4,"  0.7",1,"  0.3"
"10. Diabetic retinopathy",0,"  0.0",0,"  0.0",2,"  0.3",3,"  0.9"
"11. Age-related macular degeneration",0,"  0.0",0,"  0.0",2,"  0.3",0,"  0.0"
"12. Other posterior segment disease",3,"  4.4",2,"  1.6",14,"  2.3",0,"  0.0"
"13. Myopic degeneration",0,"  0.0",2,"  1.6",9,"  1.5",0,"  0.0"
"14. Other globe or CNS abnomalities",1,"  1.5",0,"  0.0",2,"  0.3",0,"  0.0"
"Total",68,"100.0",127,"100.0",612,"100.0",341,"100.0"
